Date,Open,High,Low,Close,Adj Close,Volume
2/25/2020,5.01,5.03,4.51,4.53,4.53,3017900
2/26/2020,4.5,4.81,4.44,4.66,4.66,2392100
2/27/2020,4.57,4.63,4.18,4.18,4.18,3047800
2/28/2020,3.99,4.39,3.99,4.21,4.21,2387000
3/2/2020,4.23,4.4,4.08,4.4,4.4,1905800
3/3/2020,4.44,4.46,4,4.01,4.01,2379100
3/4/2020,4.11,4.32,4.09,4.31,4.31,1629000
3/5/2020,4.2,4.24,4.09,4.22,4.22,1578700
3/6/2020,4.07,4.17,3.8,3.95,3.95,2324500
3/9/2020,3.6,3.85,3.45,3.48,3.48,2174900
3/10/2020,3.68,3.81,3.51,3.81,3.81,1822000
3/11/2020,3.71,3.79,3.42,3.52,3.52,2204100
3/12/2020,3.35,3.36,2.88,2.93,2.93,3164600
3/13/2020,3.2,3.54,2.55,3.41,3.41,4017700
3/16/2020,2.62,3.2,2.61,2.61,2.61,3327300
3/17/2020,2.92,3.35,2.68,2.89,2.89,4338000
3/18/2020,2.83,3.14,2.56,2.74,2.74,2985800
3/19/2020,2.75,3.1,2.6,2.89,2.89,2632700
3/20/2020,2.98,3.15,2.89,2.95,2.95,3372500
3/23/2020,2.99,3.3,2.93,3.13,3.13,2271900
3/24/2020,3.44,3.63,3.24,3.57,3.57,3201800
3/25/2020,3.76,3.9,3.41,3.82,3.82,2461800
3/26/2020,3.84,4.08,3.74,3.89,3.89,2637200
3/27/2020,3.75,4,3.62,3.77,3.77,2392700
3/30/2020,3.82,3.96,3.73,3.88,3.88,1276400
3/31/2020,3.95,4.06,3.68,3.85,3.85,1699900
4/1/2020,3.84,3.84,3.47,3.48,3.48,2208300
4/2/2020,3.42,3.74,3.4,3.62,3.62,2117500
4/3/2020,3.62,3.77,3.49,3.53,3.53,1234800
4/6/2020,3.74,3.92,3.67,3.92,3.92,1625000
4/7/2020,4,4.12,3.7,3.72,3.72,2073400
4/8/2020,3.82,4.27,3.82,4.16,4.16,2680000
