Date,Open,High,Low,Close,Adj Close,Volume
7/1/2020,4.337,4.46,4.3,4.36,4.36,3711900
7/2/2020,4.39,4.42,4.3,4.3,4.3,2501900
7/6/2020,4.33,4.46,4.31,4.38,4.38,2977300
7/7/2020,4.38,4.4,4.31,4.33,4.33,2279400
7/8/2020,4.36,4.37,4.25,4.31,4.31,2488400
7/9/2020,4.33,4.36,4.115,4.19,4.19,3293600
7/10/2020,4.18,4.31,4.13,4.3,4.3,3688700
7/13/2020,4.48,4.98,4.4,4.68,4.68,13814700
7/14/2020,4.76,4.91,4.47,4.71,4.71,10412500
7/15/2020,4.8,5.11,4.71,5.07,5.07,12417100
7/16/2020,5.02,5.19,4.91,5.07,5.07,6136100
7/17/2020,5.15,5.338,5.08,5.1,5.1,7756400
7/20/2020,5.098,5.21,5.02,5.18,5.18,5056500
7/21/2020,5.16,5.29,5.14,5.23,5.23,4532800
7/22/2020,5.23,5.25,5.06,5.15,5.15,4711600
7/23/2020,5.17,5.22,5.03,5.13,5.13,4601100
7/24/2020,5.05,5.11,4.93,5.11,5.11,4049400
7/27/2020,5.19,5.84,5.19,5.74,5.74,14713300
7/28/2020,5.96,6.15,5.86,6,6,18963200
7/29/2020,5.32,5.47,4.85,4.85,4.85,26863000
7/30/2020,5.03,5.09,4.87,4.92,4.92,9252600
7/31/2020,4.91,5.018,4.59,4.775,4.775,11901300
8/3/2020,4.82,4.98,4.64,4.91,4.91,7549500
8/4/2020,4.95,4.965,4.785,4.89,4.89,8874800
8/5/2020,4.91,4.923,4.76,4.81,4.81,5776100
8/6/2020,4.76,4.79,4.63,4.66,4.66,4932000
8/7/2020,4.64,4.64,4.38,4.47,4.47,8430800
8/10/2020,4.64,4.67,4.508,4.63,4.63,5110700
8/11/2020,4.64,4.66,4.42,4.45,4.45,3819200
8/12/2020,4.48,4.535,4.4,4.51,4.51,3729100
8/13/2020,4.5,4.69,4.5,4.65,4.65,3952300
8/14/2020,4.67,4.68,4.48,4.49,4.49,6372200
8/17/2020,4.6,4.6,4.5,4.59,4.59,3429600
8/18/2020,4.58,4.68,4.52,4.67,4.67,3289100
8/19/2020,4.65,4.75,4.625,4.63,4.63,2853600
8/20/2020,4.6,4.63,4.53,4.57,4.57,2044800
8/21/2020,4.55,4.558,4.431,4.48,4.48,2655500
8/24/2020,4.496,4.56,4.39,4.55,4.55,2939300
8/25/2020,4.55,4.64,4.51,4.58,4.58,2554900
8/26/2020,4.59,4.63,4.54,4.57,4.57,2073000
8/27/2020,4.57,4.61,4.51,4.57,4.57,2079400
8/28/2020,4.56,4.84,4.55,4.69,4.69,7301600
8/31/2020,4.7,4.9,4.632,4.87,4.87,4531300
9/1/2020,4.84,4.87,4.73,4.78,4.78,3150700
9/2/2020,4.74,4.79,4.67,4.72,4.72,2573800
9/3/2020,4.68,4.83,4.58,4.7,4.7,3284100
9/4/2020,4.65,4.708,4.375,4.59,4.59,3697200
9/8/2020,4.47,4.57,4.4,4.44,4.44,2779800
9/9/2020,4.49,4.585,4.47,4.51,4.51,2893200
9/10/2020,4.53,4.728,4.53,4.63,4.63,4422300
9/11/2020,4.67,4.67,4.47,4.5,4.5,3136200
9/14/2020,4.55,4.67,4.485,4.65,4.65,2521800
9/15/2020,4.68,4.75,4.64,4.64,4.64,1883600
9/16/2020,4.66,4.74,4.63,4.63,4.63,2279300
9/17/2020,4.61,4.66,4.53,4.66,4.66,1672700
9/18/2020,4.65,4.7,4.56,4.68,4.68,1889900
9/21/2020,4.56,4.59,4.4,4.44,4.44,3691800
9/22/2020,4.47,4.56,4.38,4.54,4.54,2802800
9/23/2020,4.5,4.5,4.326,4.44,4.44,5572600
9/24/2020,4.324,4.35,4.17,4.22,4.22,4195900
9/25/2020,4.22,4.28,4.17,4.23,4.23,1974300
9/28/2020,4.26,4.32,4.21,4.31,4.31,2082000
9/29/2020,4.3,4.44,4.27,4.34,4.34,2929900
9/30/2020,4.349,4.49,4.33,4.43,4.43,2299300
10/1/2020,4.45,4.47,4.365,4.4,4.4,1819900
10/2/2020,4.29,4.418,4.28,4.41,4.41,1747300
10/5/2020,4.47,5.04,4.45,5.03,5.03,10130500
10/6/2020,5.11,5.22,4.86,4.91,4.91,6544800
10/7/2020,5,5.15,4.98,5.14,5.14,5290900
10/8/2020,5.24,5.84,5.21,5.67,5.67,13988800
10/9/2020,5.8,5.88,5.44,5.75,5.75,11924000
10/12/2020,5.75,6.44,5.74,6.37,6.37,16317500
10/13/2020,6.06,6.32,5.91,6.1,6.1,11556500
10/14/2020,6.11,6.22,5.8,5.88,5.88,11426800
10/15/2020,5.34,5.383,4.71,4.8,4.8,26103100
